index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
0,Linear,0.6347646787709207,0.4764218565298745,0.3024244312254814,0.3719759514605142,0.5033703151157174,S2,Linear,0.3271597077837214,nz9BvNl7F,False,False,False,,2149708564873823857,0.9056310956836408,0.9599104960653881,0.9085282078343514,1.0
1,Linear,0.3719759514605142,0.129857508001421,0.2782514883315095,0.6347646787709207,0.5033703151157174,S2,Linear,0.3425166963133961,n9etst5AH,False,False,False,,2149708564873823857,0.9056310956836408,0.9599104960653881,0.9085282078343514,1.0
2,Group14,0.5459985940670443,0.5459985940670443,0.0,0.6609063616709745,0.6034524778690094,S4,MiCRO,29.679288596031256,n3Nr5yMYG,False,False,False,,1231156165331047992,0.8421433278181466,0.8475114303764508,0.7897004323842114,0.8493098688148202
3,MiCRO,0.6609063616709745,0.6609063616709745,0.0,0.5459985940670443,0.6034524778690094,S4,Group14,0.07128430134616792,ncs93XGIQ,False,False,False,,1231156165331047992,0.8421433278181466,0.8475114303764508,0.7897004323842114,0.8493098688148202
4,RVFitter,0.7697456653855659,0.1985404739314347,0.7127062226786288,0.2278882014318906,0.49881693340872824,S0,Conceder,0.8990777995204553,nqao2InGW,False,False,False,,1638554799498697332,0.787086130460787,0.787086130460787,0.9953347666416866,0.9975462847840288
5,Conceder,0.2278882014318906,0.09400163152859349,0.1477779370940695,0.7697456653855659,0.49881693340872824,S0,RVFitter,0.03033839992713183,nk5sqekOm,False,False,False,,1638554799498697332,0.787086130460787,0.787086130460787,0.9953347666416866,0.9975462847840288
6,Linear,0.6961755520590731,0.4764218565298745,0.4197151815252147,0.3332904284880417,0.5147329902735573,S2,NashSeeker,0.4356034994125366,n3VuMvuMz,False,False,False,,6981758347975255607,0.9569504890672695,0.9887661411596108,0.929036590206846,1.0
7,NashSeeker,0.3332904284880417,0.129857508001421,0.2337926516142978,0.6961755520590731,0.5147329902735573,S2,Linear,0.1339364048326388,nI8GiAbTv,False,False,False,,6981758347975255607,0.9569504890672695,0.9887661411596108,0.929036590206846,1.0
8,NashSeeker,0.3515216076511098,0.05613081018144523,0.3129573469035992,0.5277014650965766,0.4396115363738432,S1,Conceder,0.02370579994749278,nkpiC1jmi,False,False,False,,7448925356190365334,0.9708559626572447,0.9142490819637161,0.8969759774804404,1.0
9,Conceder,0.5277014650965766,0.06580118343134599,0.4944346679455311,0.3515216076511098,0.4396115363738432,S1,NashSeeker,0.0013877000892534852,n1jnzz6ne,False,False,False,,7448925356190365334,0.9708559626572447,0.9142490819637161,0.8969759774804404,1.0
10,Boulware,0.6373770012865523,0.44998078471779285,0.3407084904708448,0.41039651486557605,0.5238867580760642,S5,Linear,0.02102410059887916,nZuoBXulb,False,False,False,,8351516666643879203,0.9809138590353637,0.9943058968239619,0.97842728077552,1.0
11,Linear,0.41039651486557605,0.24297314959269287,0.2211590846253386,0.6373770012865523,0.5238867580760642,S5,Boulware,0.015072198351845145,nQLyfVxB7,False,False,False,,8351516666643879203,0.9809138590353637,0.9943058968239619,0.97842728077552,1.0
12,MiCRO,0.731684091115742,0.367004711095078,0.5761170523900061,0.43296978768975536,0.5823269394027486,S9,Boulware,0.13867670111358166,n3hGqdqwv,False,False,False,,-8103885671111193117,0.8810584259463906,0.8273535701410318,0.9922226200016675,1.0
13,Boulware,0.43296978768975536,0.41439734090874447,0.03171509980817336,0.731684091115742,0.5823269394027486,S9,MiCRO,0.2898242026567459,n7gh61FqZ,False,False,False,,-8103885671111193117,0.8810584259463906,0.8273535701410318,0.9922226200016675,1.0
14,Conceder,0.508904890084838,0.44998078471779285,0.10713099420865138,0.5557940954979901,0.5323494927914141,S5,Linear,0.01346530020236969,nODpJ70YC,False,False,False,,-4173323213660507205,0.8818900407824792,0.868498002993881,0.9942325485892604,1.0
15,Linear,0.5557940954979901,0.24297314959269287,0.41322305244125557,0.508904890084838,0.5323494927914141,S5,Conceder,0.016260599484667182,njYOmsdja,False,False,False,,-4173323213660507205,0.8818900407824792,0.868498002993881,0.9942325485892604,1.0
16,Group14,0.5760263921797822,0.41871865016413373,0.27062237943823036,0.6752977729750631,0.6256620825774226,S3,NashSeeker,175.3552096041385,ne7ogg5Xy,False,False,False,,4457019383979949593,1.0,0.9851104273018132,0.9911816060311112,1.0
17,NashSeeker,0.6752977729750631,0.49046483612744673,0.3627481476309797,0.5760263921797822,0.6256620825774226,S3,Group14,0.28126039169728756,nWVnMlSJw,False,False,False,,4457019383979949593,1.0,0.9851104273018132,0.9911816060311112,1.0
18,MiCRO,0.44998078471779285,0.44998078471779285,0.0,0.24297314959269287,0.34647696715524284,S5,Linear,0.01114750001579523,nK3hjHIRj,False,False,False,,-5560574757351537984,0.8211830721721164,0.8221868999075439,0.647091211219034,0.8223093626220241
19,Linear,0.24297314959269287,0.24297314959269287,0.0,0.44998078471779285,0.34647696715524284,S5,MiCRO,0.010876399814151227,nj4BSMG0L,False,False,False,,-5560574757351537984,0.8211830721721164,0.8221868999075439,0.647091211219034,0.8223093626220241
20,Boulware,0.4846454718400566,0.1985404739314347,0.3569799704197981,0.48353718405418833,0.48409132794712245,S0,Boulware,0.036301299347542226,nniGwbbmV,False,False,False,,-2317083860261802894,0.9400709664849463,0.9400709664849463,0.9659514275965881,0.9829881674407653
21,Boulware,0.48353718405418833,0.09400163152859349,0.4299517152363268,0.4846454718400566,0.48409132794712245,S0,Boulware,0.021518300287425518,naiWQtWjW,False,False,False,,-2317083860261802894,0.9400709664849463,0.9400709664849463,0.9659514275965881,0.9829881674407653
22,Conceder,0.3305590006518693,0.026474408429436977,0.3123539790380453,0.4648454455688662,0.39770222311036774,DivideThePieGen7,Group14,0.015429300721734762,nktHeiCyK,False,False,False,,-4577642130523209760,0.7131716990477889,0.8594335514651538,0.6957553177935965,1.0
23,Group14,0.4648454455688662,0.38326144067299506,0.13228296441347356,0.3305590006518693,0.39770222311036774,DivideThePieGen7,Conceder,2.798945699702017,n2ZjGIg5j,False,False,False,,-4577642130523209760,0.7131716990477889,0.8594335514651538,0.6957553177935965,1.0
24,Linear,0.32988079257845065,0.026474408429436977,0.31165732752801717,0.4698774192019038,0.3998791058901772,DivideThePieGen7,Group14,0.04102680063806474,nqjPZnSVG,False,False,False,,6950671149468011733,0.7167620141338527,0.8630238665512177,0.6995636388998263,1.0
25,Group14,0.4698774192019038,0.38326144067299506,0.14044197045734497,0.32988079257845065,0.3998791058901772,DivideThePieGen7,Linear,4.474736699135974,neeq62HaX,False,False,False,,6950671149468011733,0.7167620141338527,0.8630238665512177,0.6995636388998263,1.0
26,Conceder,0.4764218565298745,0.4764218565298745,0.0,0.129857508001421,0.30313968226564775,S2,MiCRO,0.579333795234561,n1BB6LVBJ,False,False,False,,-7086961906331118491,0.7738264152527645,0.79071571037894,0.547133877350258,0.8002122644165632
27,MiCRO,0.129857508001421,0.129857508001421,0.0,0.4764218565298745,0.30313968226564775,S2,Conceder,0.3032991026993841,nDOLvNg9o,False,False,False,,-7086961906331118491,0.7738264152527645,0.79071571037894,0.547133877350258,0.8002122644165632
28,NashSeeker,0.438926786349199,0.1985404739314347,0.2999356855822051,0.5630026240429398,0.5009647051960694,S0,RVFitter,0.017325800377875566,ntkLWoqOJ,False,False,False,,5646885314104785099,0.8799352154656651,0.8799352154656651,0.9996204109083,1.0
29,RVFitter,0.5630026240429398,0.09400163152859349,0.5176620718485854,0.438926786349199,0.5009647051960694,S0,NashSeeker,0.055726599297486246,nweobMD7E,False,False,False,,5646885314104785099,0.8799352154656651,0.8799352154656651,0.9996204109083,1.0
30,Conceder,0.7238637341892133,0.5459985940670443,0.39826040423364917,0.7917500962134028,0.757806915201308,S4,Conceder,0.04036050115246326,nrSUvOaMm,False,False,False,,-3258153561237412687,0.9991464275657319,0.9726829023548951,0.9916944093286515,1.0
31,Conceder,0.7917500962134028,0.6609063616709745,0.38586377343576583,0.7238637341892133,0.757806915201308,S4,Conceder,0.025592100457288325,nO5IOI4Rl,False,False,False,,-3258153561237412687,0.9991464275657319,0.9726829023548951,0.9916944093286515,1.0
32,RVFitter,0.7000811202972398,0.05613081018144523,0.6822452910446041,0.22164824683701365,0.46086468356712673,S1,Linear,0.028102099895477295,nFBbV30aR,False,False,False,,7871217603482901539,0.7004437551610814,0.7552079539134083,0.940340541193845,1.0
33,Linear,0.22164824683701365,0.06580118343134599,0.1668242997546278,0.7000811202972398,0.46086468356712673,S1,RVFitter,0.0110620001796633,nZdv6JgSh,False,False,False,,7871217603482901539,0.7004437551610814,0.7552079539134083,0.940340541193845,1.0
34,Boulware,0.6573687875838603,0.41871865016413373,0.4105587380140669,0.5753232369536612,0.6163460122687607,S3,Linear,0.44870850373990834,nKO066zpL,False,False,False,,-7786068097856265958,0.9088641312578633,0.92375370395605,0.97642297227725,1.0
35,Linear,0.5753232369536612,0.49046483612744673,0.16654081375125568,0.6573687875838603,0.6163460122687607,S3,Boulware,0.4005949042038992,nHw39dFsM,False,False,False,,-7786068097856265958,0.9088641312578633,0.92375370395605,0.97642297227725,1.0
36,NashSeeker,0.5459985940670443,0.5459985940670443,0.0,0.6609063616709745,0.6034524778690094,S4,MiCRO,0.04458430164959282,nrmnC3yKf,False,False,False,,-6899538268152517551,0.8421433278181466,0.8475114303764508,0.7897004323842114,0.8493098688148202
37,MiCRO,0.6609063616709745,0.6609063616709745,0.0,0.5459985940670443,0.6034524778690094,S4,NashSeeker,0.045179800828918815,nehQYXNWa,False,False,False,,-6899538268152517551,0.8421433278181466,0.8475114303764508,0.7897004323842114,0.8493098688148202
38,Group14,0.668037637091804,0.367004711095078,0.4755689833292616,0.47220352808039506,0.5701205825860995,S9,Conceder,41.340413305093534,nFRSaFOu0,False,False,False,,8641811061229286726,0.9339233502989135,0.8801618693339012,0.9714242977504033,1.0
39,Conceder,0.47220352808039506,0.41439734090874447,0.0987123030850899,0.668037637091804,0.5701205825860995,S9,Group14,0.29945290239993483,nXTRp1je7,False,False,False,,8641811061229286726,0.9339233502989135,0.8801618693339012,0.9714242977504033,1.0
40,MiCRO,0.1985404739314347,0.1985404739314347,0.0,0.09400163152859349,0.1462710527300141,S0,Boulware,0.017115899361670017,nWlNRY5YH,False,False,False,,1008030485114256905,0.6451512326635347,0.6451512326635347,0.29186792665710837,0.6451512326635347
41,Boulware,0.09400163152859349,0.09400163152859349,0.0,0.1985404739314347,0.1462710527300141,S0,MiCRO,0.04152340057771653,nWBwVzJYI,False,False,False,,1008030485114256905,0.6451512326635347,0.6451512326635347,0.29186792665710837,0.6451512326635347
42,Boulware,0.71717033885085,0.1985404739314347,0.6471067446954848,0.28420642404607677,0.5006883814484634,S0,Linear,0.019480399787425995,n1wxjpwQI,False,False,False,,2100392606315222432,0.8415443922862553,0.8415443922862553,0.9990690370185615,1.0
