index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
0,Group14,0.4443760776237594,0.21112916989356692,0.29720821302482336,0.5400831830990183,0.49222963036138884,S2,RVFitter,51.745936602703296,nEMbFqLlP,False,False,False,,4213496585475070697,0.5448887404271971,0.9489408691941403,0.6580026977414439,1.0
1,RVFitter,0.5400831830990183,0.3763596930734031,0.5098420010007575,0.4443760776237594,0.49222963036138884,S2,Group14,0.29916039668023586,nwqRQGP3H,False,False,False,,4213496585475070697,0.5448887404271971,0.9489408691941403,0.6580026977414439,1.0
2,NashSeeker,0.03304069759358923,0.03304069759358923,0.0,0.11387781071089952,0.07345925415224437,S3,MiCRO,0.03649809863418341,n0U90ZO7r,False,False,False,,6797935325059922319,0.4987972220613792,0.4987972220613792,0.1280322500971605,0.5015112715099574
3,MiCRO,0.11387781071089952,0.11387781071089952,0.0,0.03304069759358923,0.07345925415224437,S3,NashSeeker,0.04980110190808773,ngIPQsU6G,False,False,False,,6797935325059922319,0.4987972220613792,0.4987972220613792,0.1280322500971605,0.5015112715099574
4,Conceder,0.507851580510913,0.0001875984133678888,0.507759236924765,0.6972138587237426,0.6025327196173278,S8,NashSeeker,0.05243189830798656,nHLVYKkoh,False,False,False,,-1392837018506101787,0.8991142047774707,0.8270961224008014,0.9881111713756888,1.0
5,NashSeeker,0.6972138587237426,0.5318569662920022,0.35321873984112534,0.507851580510913,0.6025327196173278,S8,Conceder,0.01926670188549906,nSl3LhDD1,False,False,False,,-1392837018506101787,0.8991142047774707,0.8270961224008014,0.9881111713756888,1.0
6,RVFitter,0.3919395027035125,0.3919395027035125,0.0,0.18486544786516837,0.28840247528434043,S1,MiCRO,0.026607699692249298,npLaXAXCJ,False,False,False,,3587315946162876752,0.7701589574589763,0.7701589574589763,0.5542022718135202,0.7708103209257493
7,MiCRO,0.18486544786516837,0.18486544786516837,0.0,0.3919395027035125,0.28840247528434043,S1,RVFitter,0.0065015003783628345,nBEC4Vsne,False,False,False,,3587315946162876752,0.7701589574589763,0.7701589574589763,0.5542022718135202,0.7708103209257493
8,Conceder,0.2154683105581126,0.0905877242900667,0.1599927915630508,0.9654481004706146,0.5904582055143636,DivideThePies7,Boulware,0.007317999959923327,n4b6qcnKw,False,False,False,,-6323678522419284609,0.625994666181383,0.6984246697663347,0.8399587096936395,1.0
9,Boulware,0.9654481004706146,0.07144519241672467,0.9694996774642967,0.2154683105581126,0.5904582055143636,DivideThePies7,Conceder,0.007955800276249647,n3hlrfcPz,False,False,False,,-6323678522419284609,0.625994666181383,0.6984246697663347,0.8399587096936395,1.0
10,Conceder,0.4356726592385935,0.09604419556140953,0.375713571404205,0.6070953641785519,0.5213840117085727,S6,MiCRO,0.09330620081163943,nEJDXkZBg,False,False,False,,5866105636707477522,0.9171243661842073,0.9045953717033556,0.9839169019592068,1.0
11,MiCRO,0.6070953641785519,0.45015092508378757,0.2854318507650122,0.4356726592385935,0.5213840117085727,S6,Conceder,0.06173760071396828,nAuguNSRR,False,False,False,,5866105636707477522,0.9171243661842073,0.9045953717033556,0.9839169019592068,1.0
12,Group14,0.6951615572079163,0.14797364983338654,0.6422194657096313,0.14371087361560692,0.41943621541176157,S5,Conceder,3.4062543001491576,nF6Xr4cId,False,False,False,,7982973301699069688,0.6232185432683206,0.7551337149297772,0.756196460914666,0.9728943499086616
13,Conceder,0.14371087361560692,0.06263354808029709,0.08649480186672513,0.6951615572079163,0.41943621541176157,S5,Group14,0.021849299664609134,nvbwTuE3F,False,False,False,,7982973301699069688,0.6232185432683206,0.7551337149297772,0.756196460914666,0.9728943499086616
14,NashSeeker,0.9030539947973533,0.21112916989356692,0.881665453824786,0.5052254168670218,0.7041397058321875,S2,RVFitter,0.018772900220938027,nKWhYLgQt,False,False,False,,7092034296134901321,0.9234574637430735,0.5703886260869973,0.9412798365760268,1.0
15,RVFitter,0.5052254168670218,0.3763596930734031,0.4012934153130397,0.9030539947973533,0.7041397058321875,S2,NashSeeker,1.1280711005674675,nry4KsWhc,False,False,False,,7092034296134901321,0.9234574637430735,0.5703886260869973,0.9412798365760268,1.0
16,Conceder,0.15910207996694767,0.09604419556140953,0.0697577072860335,0.8565162548939886,0.5078091674304681,S6,RVFitter,1.35081580595579,n39UNSXB8,False,False,False,,-9002690480204204168,0.8195297908222725,0.8320587853031243,0.958299471376857,1.0
17,RVFitter,0.8565162548939886,0.45015092508378757,0.7390488560376758,0.15910207996694767,0.5078091674304681,S6,Conceder,84.96764390263706,n0v7SjUwN,False,False,False,,-9002690480204204168,0.8195297908222725,0.8320587853031243,0.958299471376857,1.0
18,Boulware,0.5617562749568267,0.3919395027035125,0.2792761131636418,0.47902789339599816,0.5203920841764125,S1,NashSeeker,0.015946699306368828,nhlz0NQDl,False,False,False,,-7920963206630920517,0.9472399095744323,0.9472399095744323,1.0,1.0
19,NashSeeker,0.47902789339599816,0.18486544786516837,0.36087593730436335,0.5617562749568267,0.5203920841764125,S1,Boulware,0.014752300223335624,nnaMI21uE,False,False,False,,-7920963206630920517,0.9472399095744323,0.9472399095744323,1.0,1.0
20,MiCRO,0.3919395027035125,0.3919395027035125,0.0,0.18486544786516837,0.28840247528434043,S1,RVFitter,0.0054313004948198795,npuLixJNO,False,False,False,,-8646750558691325503,0.7701589574589763,0.7701589574589763,0.5542022718135202,0.7708103209257493
21,RVFitter,0.18486544786516837,0.18486544786516837,0.0,0.3919395027035125,0.28840247528434043,S1,MiCRO,0.011346000013872981,n9qs9Y08S,False,False,False,,-8646750558691325503,0.7701589574589763,0.7701589574589763,0.5542022718135202,0.7708103209257493
22,RVFitter,0.3479816794966606,0.21112916989356692,0.17438040325124948,0.551524673756105,0.4497531766263828,S2,Group14,7.919425596715882,nIIf8S7Fp,False,False,False,,-5431133513454583274,0.46507033673061715,0.9711673351678305,0.6012210262934993,1.0
23,Group14,0.551524673756105,0.3763596930734031,0.5454712957960733,0.3479816794966606,0.4497531766263828,S2,RVFitter,57.14008920022752,nBxw23myV,False,False,False,,-5431133513454583274,0.46507033673061715,0.9711673351678305,0.6012210262934993,1.0
24,Conceder,0.26858257150393544,0.03304069759358923,0.2435902662337163,0.8101497926390896,0.5393661820715125,S3,Group14,0.07973390014376491,n8nA3Q3zQ,False,False,False,,4367520153875836,0.796828523552009,0.796828523552009,0.9400621707077411,1.0
