index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
38,RVFitter,0.6828191068280429,0.16548116243141012,0.6199236267738681,0.4898362489937345,0.5863276779108887,S5,NashSeeker,0.04215930006466806,nDvrFDyqM,False,False,False,,6801710886762174818,1.0,1.0,1.0,1.0
39,NashSeeker,0.4898362489937345,0.12013854745135846,0.42017717729478316,0.6828191068280429,0.5863276779108887,S5,RVFitter,0.030725400079973042,nza7jjCVB,False,False,False,,6801710886762174818,1.0,1.0,1.0,1.0
40,Boulware,0.5963811822937956,0.24608804502444664,0.46463401323926173,0.4014778384715221,0.4989295103826588,S1,Group14,0.1485202012117952,n5VWdU0NB,False,False,False,,-6164483546754481807,0.9461962659547242,0.9461962659547242,0.9938111712927522,0.9998179530582416
41,Group14,0.4014778384715221,0.16169909259833515,0.2860294480849213,0.5963811822937956,0.4989295103826588,S1,Boulware,5.357473699026741,n2KYRDUsx,False,False,False,,-6164483546754481807,0.9461962659547242,0.9461962659547242,0.9938111712927522,0.9998179530582416
42,Boulware,0.16548116243141012,0.16548116243141012,0.0,0.12013854745135846,0.1428098549413843,S5,MiCRO,0.0920014992589131,nvGJBg0LV,False,False,False,,-6057431411550856093,0.5503807503908172,0.5503807503908172,0.2435666271976484,0.5503807503908172
43,MiCRO,0.12013854745135846,0.12013854745135846,0.0,0.16548116243141012,0.1428098549413843,S5,Boulware,0.03861719963606447,nShdmeQ3N,False,False,False,,-6057431411550856093,0.5503807503908172,0.5503807503908172,0.2435666271976484,0.5503807503908172
44,NashSeeker,0.912570265465162,0.5290060427917411,0.8180550638421479,0.5049857348082649,0.7087780001367134,S2,Linear,0.018701400142163038,nvBxpQMv9,False,False,False,,8252283371634028206,0.9298229401391344,0.9957117350623416,0.9463018137598883,1.0
45,Linear,0.5049857348082649,0.12880713941900795,0.6595076731137129,0.912570265465162,0.7087780001367134,S2,NashSeeker,0.014358499785885215,nPAonmueg,False,False,False,,8252283371634028206,0.9298229401391344,0.9957117350623416,0.9463018137598883,1.0
46,RVFitter,0.3988656738949788,0.3988656738949788,0.0,0.23123335809650097,0.3150495159957399,S7,MiCRO,3.5917611005716026,nHByQNrJO,False,False,False,,-8889973037257416429,0.811495062842085,0.8412418335655323,0.609868579384738,0.8493069452528814
47,MiCRO,0.23123335809650097,0.23123335809650097,0.0,0.3988656738949788,0.3150495159957399,S7,RVFitter,0.03245379962027073,nJd1gw271,False,False,False,,-8889973037257416429,0.811495062842085,0.8412418335655323,0.609868579384738,0.8493069452528814
48,Conceder,0.19416526597364897,0.16548116243141012,0.034372026431196384,0.4898362489937345,0.34200075748369174,S5,Boulware,0.06926720170304179,nOGsVQmPu,False,False,False,,-6464637085714418782,0.6544695554790061,0.6544695554790061,0.5832928759260615,0.6544695554790061
49,Boulware,0.4898362489937345,0.12013854745135846,0.42017717729478316,0.19416526597364897,0.34200075748369174,S5,Conceder,0.0526691994164139,nkHVrp4sn,False,False,False,,-6464637085714418782,0.6544695554790061,0.6544695554790061,0.5832928759260615,0.6544695554790061
50,MiCRO,0.6594225268227019,0.16548116243141012,0.5918876149403809,0.4898362489937345,0.5746293879082182,S5,Linear,0.025819299975410104,nwUOw2F6a,False,False,False,,-5422618788145238936,0.9834561196216497,0.9834561196216497,0.9800482043686697,0.9834561196216497
51,Linear,0.4898362489937345,0.12013854745135846,0.42017717729478316,0.6594225268227019,0.5746293879082182,S5,MiCRO,0.03686550003476441,nQc8C5fuY,False,False,False,,-5422618788145238936,0.9834561196216497,0.9834561196216497,0.9800482043686697,0.9834561196216497
52,Conceder,0.3919731250407945,0.32358519754428233,0.10202779129276857,0.860941449252821,0.6264572871468077,S9,Boulware,0.03441079903859645,nYlOaMuZm,False,False,False,,5059962892371538149,0.7093047355232542,0.7952380660042133,0.8363613843736847,1.0
53,Boulware,0.860941449252821,0.4016455136682362,0.7684735554183073,0.3919731250407945,0.6264572871468077,S9,Conceder,0.030037499614991248,nHBQaxB9d,False,False,False,,5059962892371538149,0.7093047355232542,0.7952380660042133,0.8363613843736847,1.0
54,Boulware,0.6238556778850558,0.08748260015232343,0.5877949043188297,0.2925740614109983,0.45821486964802705,S6,NashSeeker,1.416291196946986,n83gQb5ZN,False,False,False,,344001347612010765,0.7619241740161715,0.8588451345966848,0.8483453537230689,1.0
55,NashSeeker,0.2925740614109983,0.05073732679259073,0.25476271367679426,0.6238556778850558,0.45821486964802705,S6,Boulware,0.42240539484191686,nUH4DUqjN,False,False,False,,344001347612010765,0.7619241740161715,0.8588451345966848,0.8483453537230689,1.0
56,NashSeeker,0.6828191068280429,0.16548116243141012,0.6199236267738681,0.4898362489937345,0.5863276779108887,S5,RVFitter,0.0351841002702713,neUFwlnEP,False,False,False,,7987290673830657901,1.0,1.0,1.0,1.0
57,RVFitter,0.4898362489937345,0.12013854745135846,0.42017717729478316,0.6828191068280429,0.5863276779108887,S5,NashSeeker,0.05956650001462549,nCDGqpZtY,False,False,False,,7987290673830657901,1.0,1.0,1.0,1.0
58,Boulware,0.6623674844404741,0.32358519754428233,0.5054285124065844,0.7152126494376199,0.688790066939047,S9,Boulware,0.026683300733566284,nUcSFCzyI,False,False,False,,3233835106083090027,0.9272674570571329,0.9867300970630222,0.9195797155648425,1.0
59,Boulware,0.7152126494376199,0.4016455136682362,0.5246466014996037,0.6623674844404741,0.688790066939047,S9,Boulware,0.025819399626925588,nKP4EGdU8,False,False,False,,3233835106083090027,0.9272674570571329,0.9867300970630222,0.9195797155648425,1.0
60,Boulware,0.7265817232453223,0.32358519754428233,0.6012295871670263,0.6768308568152507,0.7017062900302865,S9,RVFitter,0.027208599727600813,nBMoQnkTr,False,False,False,,-7527360478617283293,0.9803668230126245,0.9336305001040632,0.936823716787446,1.0
61,RVFitter,0.6768308568152507,0.4016455136682362,0.4604278911765983,0.7265817232453223,0.7017062900302865,S9,Boulware,0.767142400611192,nSbt98hm0,False,False,False,,-7527360478617283293,0.9803668230126245,0.9336305001040632,0.936823716787446,1.0
62,Conceder,0.46574094517913917,0.05153342826858424,0.4367128260033703,0.6318015308564972,0.5487712380178181,S0,Conceder,0.02498329896479845,nrp9lP7rp,False,False,False,,-2601604247889839616,0.9079838549754515,0.9420865501907402,0.9671770292316876,1.0
63,Conceder,0.6318015308564972,0.33527510862538024,0.4460889400694989,0.46574094517913917,0.5487712380178181,S0,Conceder,0.026895100949332118,n5Mou4HVs,False,False,False,,-2601604247889839616,0.9079838549754515,0.9420865501907402,0.9671770292316876,1.0
64,Boulware,0.6339204274804368,0.39047136220795425,0.39940545887122136,0.36607957251956325,0.5,DivideThePie3,NashSeeker,0.0670957004185766,nn0vpiv7l,False,False,False,,8733082647294947570,0.9646694553560408,0.9646694553560408,1.0,1.0
