index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
0,Linear,0.2883238037230543,0.2883238037230543,0.0,0.1446265915434399,0.21647519763324707,S1,MiCRO,0.0433381998736877,nUPFhKfzx,False,False,False,,-2721512723570249138,0.38457225824594654,0.565598986896179,0.2893471089266563,0.6441345832198355
1,MiCRO,0.1446265915434399,0.1446265915434399,0.0,0.2883238037230543,0.21647519763324707,S1,Linear,0.011374699883162975,nVDCTyHfI,False,False,False,,-2721512723570249138,0.38457225824594654,0.565598986896179,0.2893471089266563,0.6441345832198355
2,Boulware,0.7198119072216266,0.03515340173779695,0.7619345429588987,0.4691860926264695,0.594498999924048,DivideThePies8,Linear,0.12938239917275496,n7qb6PdKK,False,False,False,,6222561417664758311,0.715144471077352,0.715144471077352,0.9999999999999998,1.0
3,Linear,0.4691860926264695,0.18415767885354775,0.4348400022644591,0.7198119072216266,0.594498999924048,DivideThePies8,Boulware,0.11759620084194466,nbqTHzXXj,False,False,False,,6222561417664758311,0.715144471077352,0.715144471077352,0.9999999999999998,1.0
4,NashSeeker,0.4480400278448757,0.4480400278448757,0.0,0.48919975095022916,0.4686198893975524,DivideThePies0,Conceder,0.019748099643038586,nI9461ITX,False,False,False,,7572712903829006799,0.958391063208142,0.9584994090883084,0.9200999967426781,0.9598304159123944
5,Conceder,0.48919975095022916,0.48919975095022916,0.0,0.4480400278448757,0.4686198893975524,DivideThePies0,NashSeeker,0.02686149999499321,nvrb3BUrN,False,False,False,,7572712903829006799,0.958391063208142,0.9584994090883084,0.9200999967426781,0.9598304159123944
6,Group14,0.49200885719600645,0.44643872939646556,0.08232174145755697,0.5079911428039936,0.5,DivideThePie9,RVFitter,1.7223517003294546,ngQxIZztv,False,False,False,,-3029049390393284505,0.9886949569003802,0.9886949569003802,1.0,1.0
7,RVFitter,0.5079911428039936,0.4392432235590694,0.12259846359995973,0.49200885719600645,0.5,DivideThePie9,Group14,0.027868300181580707,neOJqsNNQ,False,False,False,,-3029049390393284505,0.9886949569003802,0.9886949569003802,1.0,1.0
8,MiCRO,0.4077547221784534,0.4077547221784534,0.0,0.38213482319638575,0.39494477268741957,DivideThePie7,Linear,0.005475600104546174,n2dd3Ksum,False,False,False,,-3021268848408615073,0.8949368582629309,0.8949368582629309,0.7898895453748391,0.8949368582629309
9,Linear,0.38213482319638575,0.38213482319638575,0.0,0.4077547221784534,0.39494477268741957,DivideThePie7,MiCRO,0.009005499945487827,nb1rT0UEC,False,False,False,,-3021268848408615073,0.8949368582629309,0.8949368582629309,0.7898895453748391,0.8949368582629309
10,MiCRO,0.4480400278448757,0.4480400278448757,0.0,0.48919975095022916,0.4686198893975524,DivideThePies0,MiCRO,0.0156396999664139,nRzeuqJP8,False,False,False,,1410835691197765986,0.958391063208142,0.9584994090883084,0.9200999967426781,0.9598304159123944
11,MiCRO,0.48919975095022916,0.48919975095022916,0.0,0.4480400278448757,0.4686198893975524,DivideThePies0,MiCRO,0.01214709974010475,ngPjbpt34,False,False,False,,1410835691197765986,0.958391063208142,0.9584994090883084,0.9200999967426781,0.9598304159123944
12,NashSeeker,0.9554016322946185,0.2883238037230543,0.9428209271245037,0.5048512273335923,0.7301264298141055,S1,Conceder,0.011147300014272332,nQZu0EgBf,False,False,False,,-4375869015328182623,0.9683759378819161,0.7879219407137136,0.9759084362891768,1.0
13,Conceder,0.5048512273335923,0.1446265915434399,0.5364152238279482,0.9554016322946185,0.7301264298141055,S1,NashSeeker,0.008456900017336011,nwBxkReUr,False,False,False,,-4375869015328182623,0.9683759378819161,0.7879219407137136,0.9759084362891768,1.0
14,RVFitter,0.49106354678170117,0.4480400278448757,0.0790113844115118,0.5273758601520312,0.5092197034668662,DivideThePies0,Conceder,3.52914800029248,nAY6AaWQM,False,False,False,,8964073997940612831,0.999780245783356,1.0,0.9998146858502038,1.0
15,Conceder,0.5273758601520312,0.48919975095022916,0.07529156340697349,0.49106354678170117,0.5092197034668662,DivideThePies0,RVFitter,0.06034040031954646,nJuNIhCHY,False,False,False,,8964073997940612831,0.999780245783356,1.0,0.9998146858502038,1.0
16,NashSeeker,0.5994451844506515,0.514670402765411,0.17467465855840603,0.43732788328779443,0.518386533869223,S6,Boulware,0.41736739987391047,ngN5kcnLe,False,False,False,,4730468669512820672,0.9460469855436611,0.9460469855436611,0.9929719389580206,1.0
17,Boulware,0.43732788328779443,0.21760331623674756,0.28083524842435803,0.5994451844506515,0.518386533869223,S6,NashSeeker,1.2498474973253906,nPDqPJDLa,False,False,False,,4730468669512820672,0.9460469855436611,0.9460469855436611,0.9929719389580206,1.0
