index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
0,Group14,0.07570722106275866,0.07570722106275866,0.0,0.4476007670352122,0.2616539940489854,S3,RVFitter,5.578206499805674,nBDIDqYgg,False,False,False,,-6794703553257034596,0.7810312478908037,0.7835965803310599,0.5295787985377807,0.7843434242757867
1,RVFitter,0.4476007670352122,0.4476007670352122,0.0,0.07570722106275866,0.2616539940489854,S3,Group14,0.32822170085273683,nYAyBarbr,False,False,False,,-6794703553257034596,0.7810312478908037,0.7835965803310599,0.5295787985377807,0.7843434242757867
2,MiCRO,0.9938426321188305,0.3322763834132924,1.0,0.5013779764270203,0.7476103042729254,S8,NashSeeker,0.00474089989438653,nd1DE41li,False,False,False,,-1715239138941128641,1.0,0.7923876655647779,1.0,1.0
3,NashSeeker,0.5013779764270203,0.2189715796134892,0.3682027044219211,0.9938426321188305,0.7476103042729254,S8,MiCRO,0.014947700197808444,nu4mszPiw,False,False,False,,-1715239138941128641,1.0,0.7923876655647779,1.0,1.0
4,Group14,0.07570722106275866,0.07570722106275866,0.0,0.4476007670352122,0.2616539940489854,S3,MiCRO,6.151668900623918,naNVnoRD5,False,False,False,,-6272036108996837610,0.7810312478908037,0.7835965803310599,0.5295787985377807,0.7843434242757867
5,MiCRO,0.4476007670352122,0.4476007670352122,0.0,0.07570722106275866,0.2616539940489854,S3,Group14,0.011753800208680332,nW3VKyRPB,False,False,False,,-6272036108996837610,0.7810312478908037,0.7835965803310599,0.5295787985377807,0.7843434242757867
6,MiCRO,0.9938426321188305,0.3322763834132924,1.0,0.5013779764270203,0.7476103042729254,S8,NashSeeker,0.007028499851003289,nS9TH4CB2,False,False,False,,4685698587771503934,1.0,0.7923876655647779,1.0,1.0
7,NashSeeker,0.5013779764270203,0.2189715796134892,0.3682027044219211,0.9938426321188305,0.7476103042729254,S8,MiCRO,0.01220090000424534,nyRU6cwdt,False,False,False,,4685698587771503934,1.0,0.7923876655647779,1.0,1.0
8,MiCRO,0.48587815752399804,0.360655212413216,0.2111202263119096,0.6828644907853895,0.5843713241546937,DivideThePies7,MiCRO,0.02570019825361669,ngwO1QSM5,False,False,False,,-5297218054541201450,0.7869054297210579,0.8056296252322075,0.9806238635781583,1.0
9,MiCRO,0.6828644907853895,0.1033618481111823,0.7093336898179569,0.48587815752399804,0.5843713241546937,DivideThePies7,MiCRO,0.02676429972052574,nQ7a66c29,False,False,False,,-5297218054541201450,0.7869054297210579,0.8056296252322075,0.9806238635781583,1.0
10,MiCRO,0.5148732360526355,0.5148732360526355,0.0,0.134314697354199,0.3245939667034172,S5,NashSeeker,0.01848489954136312,ntbdCu9Lo,False,False,False,,-5433390089968400633,0.8522893113914161,0.8522893113914161,0.6596072520569448,0.8807896799281454
11,NashSeeker,0.134314697354199,0.134314697354199,0.0,0.5148732360526355,0.3245939667034172,S5,MiCRO,0.02117440092843026,n7Qxh2RT2,False,False,False,,-5433390089968400633,0.8522893113914161,0.8522893113914161,0.6596072520569448,0.8807896799281454
